timestamp,event_name,consensus,actual,significance
2026-03-05 09:00:00,Eurozone Services PMI,53.2,53.8,Medium
2026-03-06 13:30:00,US ISM Services,55.0,54.6,High
2026-03-06 14:00:00,ECB Speech - Economist Commentary,,,Medium
2026-03-07 13:30:00,US Nonfarm Payrolls (NFP),185000,203000,High
2026-03-08 09:00:00,Eurozone CPI (YoY),2.1,2.0,High
2026-03-09 07:00:00,UK GDP (MoM),0.3,0.2,Medium
2026-03-10 13:30:00,US CPI (YoY),3.4,3.6,High
2026-03-11 09:00:00,European Union Trade Balance,-5.0B,-4.6B,Low
2026-03-12 12:00:00,ECB Policy Meeting Minutes,,,Medium
2026-03-13 13:30:00,US Unemployment Rate,4.0,3.9,Medium
2026-03-14 23:50:00,Japan Tankan Large Manufacturers,8,7,Medium
2026-03-15 02:00:00,China Retail Sales (YoY),4.5,4.7,High
2026-03-16 13:30:00,US Retail Sales (MoM),0.4,0.3,Medium
2026-03-17 09:00:00,Eurozone Industrial Production (MoM),0.2,0.1,Low
2026-03-18 18:00:00,US FOMC Rate Decision,5.25,5.25,High
2026-03-19 07:00:00,UK CPI (YoY),2.6,2.7,High
2026-03-20 13:30:00,US Durable Goods Orders (MoM),0.8,0.9,Medium
2026-03-21 09:00:00,Eurozone Consumer Confidence,-12,-11,Low
2026-03-22 13:30:00,Canada CPI (YoY),2.3,2.2,Medium
2026-03-23 00:30:00,Australia Employment Change,15.0K,18.4K,Medium
2026-03-24 13:30:00,US GDP (QoQ),1.1,1.2,High
2026-03-25 09:00:00,Eurozone Retail Sales (YoY),1.0,0.9,Low
2026-03-26 13:30:00,US Initial Jobless Claims,220000,215000,Medium
2026-03-27 08:30:00,Swiss SNB Announcement,,,Medium
2026-03-28 13:30:00,US Core PCE (YoY),3.1,3.0,High
2026-03-29 09:00:00,Eurozone Business Climate Indicator,,0.1,Low
2026-03-30 07:00:00,UK Retail Sales (MoM),0.2,0.1,Medium
2026-03-31 13:30:00,US Personal Income (MoM),0.3,0.4,Medium
2026-04-01 23:50:00,Japan CPI (YoY),2.2,2.0,Medium
2026-04-02 09:00:00,Eurozone M3 Money Supply (YoY),4.0,4.1,Low
2026-04-03 13:30:00,US ISM Manufacturing,49.0,48.5,Medium
2026-04-04 10:00:00,Germany ZEW Economic Sentiment,10.0,9.2,Low
2026-04-05 13:30:00,US Consumer Confidence,98.0,97.1,Medium
2026-04-06 09:00:00,Eurozone Unemployment Rate,6.5,6.4,Medium
2026-04-07 13:30:00,US Factory Orders (MoM),0.7,0.6,Low
2026-04-08 07:00:00,UK Jobless Claims Change,-5.0K,-4.8K,Low
2026-04-09 02:00:00,China Industrial Production (YoY),5.5,5.7,Medium
2026-04-10 13:30:00,US PPI (YoY),2.8,2.9,Medium
2026-04-11 09:00:00,Eurozone Sentix Investor Confidence,-3.0,-2.5,Low
2026-04-12 13:30:00,US Housing Starts (MoM),0.6,0.5,Medium
2026-04-13 23:50:00,Japan GDP (QoQ),0.5,0.4,Medium
2026-04-14 13:30:00,US Retail Sales Ex-Autos (MoM),0.4,0.5,Medium
2026-04-15 09:00:00,Eurozone Producer Prices (YoY),1.8,1.9,Low
2026-04-16 13:30:00,US Industrial Production (MoM),0.3,0.2,Low
2026-04-17 13:30:00,Canada Retail Sales (MoM),0.3,0.4,Low
2026-04-18 13:30:00,US Existing Home Sales,-1.5%,-1.2%,Medium
2026-04-19 09:00:00,Eurozone Current Account,14.0B,15.2B,Low
2026-04-20 07:00:00,UK PMI Composite,52.0,51.5,Medium
2026-04-21 13:30:00,US New Home Sales,0.6,0.5,Low
2026-04-22 09:00:00,Eurozone Core CPI (YoY),1.9,1.8,High
2026-04-23 13:30:00,US Durable Goods Ex-Defense,0.6,0.7,Medium
2026-04-24 23:50:00,Japan Industrial Production (MoM),0.4,0.3,Low
2026-04-25 13:30:00,US Pending Home Sales (MoM),0.3,0.2,Low
2026-04-26 00:30:00,Australia CPI (QoQ),0.6,0.5,Medium
2026-04-27 13:30:00,US Initial Jobless Claims,215000,210000,Medium
2026-04-28 09:00:00,Eurozone Sentix Confidence,-5.0,-4.6,Low
2026-04-29 13:30:00,US Personal Consumption Expenditures (MoM),0.2,0.3,High
2026-04-30 07:00:00,UK Nationwide House Price Index (YoY),1.2,1.1,Low
